Standardized_SMILES,True Values,Predictions
c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,4.67,5.2314
Oc1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.8,7.0848
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)C1CCNC1,4.7,5.563600000000001
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCCC2)c1,7.82,7.842000000000001
COc1ccccc1CC(c1ccccc1)N1CCNCC1,4.41,5.233200000000002
COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,4.8,5.170400000000001
COc1ccccc1CC(c1ccccc1F)N1CCNCC1,4.4,5.191600000000001
COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,5.07,5.197600000000001
COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,4.68,5.2472
CN1C(C(N)=O)CCC1c1ccc(OCc2ccccc2F)cc1,4.3,5.1804
NC(=O)C1CCC(c2ccc(Oc3cccc(F)c3)cc2)N1,5.1,5.5086
NC(=O)C1CCC(c2ccc(Oc3ccc(F)cc3)cc2)N1,5.3,5.240399999999999
CNCc1ccc(C#N)cc1Oc1ccc(Cl)c(Cl)c1,5.88,5.929999999999999
CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,5.34,5.626400000000001
CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,5.33,5.476
CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,5.08,5.4624
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccnc2)c1,8.46,7.848000000000001
NC(=O)c1ccnc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.0,7.493200000000001
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccncc2)c1,8.82,7.8332000000000015
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.82,7.984400000000002
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)nc1,5.89,7.571600000000001
NC(=O)c1cc(OC2CC3CCC(C2)N3Cc2ccccc2)ccn1,5.8,7.424000000000001
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccn2)c1,8.72,7.8515999999999995
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,6.0,7.4452000000000025
NC(=O)c1ccccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.47,7.4612000000000025
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,7.968800000000001
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)cc1,6.17,7.529200000000002
NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,8.14,7.901600000000002
N#Cc1ccccc1Oc1ccc(C2CCC(C(N)=O)N2)cc1,5.4,5.3908000000000005
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)o1,8.55,7.8580000000000005
NC(=O)C1CCC(c2cccc(Oc3ccccc3)c2)N1,4.2,5.5238
NC(=O)C1CCC(c2ccc(Oc3ccccc3)cc2)N1,4.9,5.3728
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccs2)c1,9.37,7.868400000000001
NC(=O)c1cccc(CC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,5.473600000000001
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,4.82,7.444800000000002
CNCc1cc(F)ccc1Oc1ccc(Cl)cc1,5.13,5.4804
O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(O)c1,4.8,5.420800000000002
CNCc1ccc(Cl)cc1Oc1ccc(F)c(C)c1,5.52,5.9216
CC(c1ccncc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.43,8.187599999999998
CNCc1cc(F)ccc1Oc1ccc(C)c(C)c1,4.7,5.4975999999999985
Cc1c(OC2CC3CCC(C2)N3Cc2ccccc2)cccc1C(N)=O,5.96,7.456800000000002
Cc1ccccc1CN1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,9.21,7.9700000000000015
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cc1,9.85,7.826000000000002
Cc1cccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)c1,9.28,7.929600000000002
Cc1cc(OC2CC3CCC(C2)N3Cc2ccccc2)cc(C(N)=O)c1,6.18,7.984800000000002
Cc1cc(C(N)=O)ccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.0,7.521600000000001
CNCc1cc(C(F)(F)F)ccc1Oc1ccc(C)cc1,4.98,5.707199999999999
NC(=O)c1cc(F)cc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.17,7.984800000000002
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)c(F)c1,5.85,7.524800000000002
CNCc1ccc(Cl)cc1Oc1ccc(C)cc1,5.79,5.933599999999999
CC(Oc1ccc(C2CCC(C(N)=O)N2)cc1)c1ccccc1,5.4,5.365799999999999
NC(=O)C1CCC(c2ccc(OCc3ccc(F)cc3)cc2)N1,5.1,5.167199999999999
NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2)N1,5.1,5.336400000000001
NC(=O)C1CCC(c2ccc(OCc3cccc(F)c3)cc2)N1,5.5,5.436999999999999
NC(=O)C1CCC(c2cccc(OCc3ccccc3)c2)N1,4.6,5.3938
NC(=O)C1CCC(c2ccc(OCc3ccccc3)cc2)N1,5.1,5.314000000000001
CNCc1ccccc1Oc1ccc(Cl)c(Cl)c1,5.41,5.743599999999999
CNCc1ccc(Cl)cc1Oc1cccc(Cl)c1,5.68,5.945999999999999
CNCc1cc(Cl)ccc1Oc1ccc(Cl)cc1,5.32,5.5696
CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1,6.19,5.9575999999999985
CC(c1ccccc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.22,8.367199999999999
CNCc1cc(Cl)ccc1Oc1ccc(C)c(C)c1,5.28,5.6
CNCc1ccc(Cl)cc1Oc1ccc(C)c(C)c1,5.76,5.969599999999999
FC(F)(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,4.96,5.2600000000000025
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,8.085,7.868400000000001
