Standardized_SMILES,True Values,Predictions
c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,4.67,3.5482541673443655
Oc1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.8,6.553613176760272
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)C1CCNC1,4.7,3.122817838054245
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCCC2)c1,7.82,6.781755300655584
COc1ccccc1CC(c1ccccc1)N1CCNCC1,4.41,4.402706753531432
COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,4.68,4.464844636694269
COc1ccccc1CC(c1ccccc1F)N1CCNCC1,4.4,4.968880834894893
COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,5.07,4.182586940984992
COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,4.8,4.634000215210617
CN1C(C(N)=O)CCC1c1ccc(OCc2ccccc2F)cc1,4.3,4.4379916037018985
NC(=O)C1CCC(c2ccc(Oc3ccc(F)cc3)cc2)N1,5.3,4.611394323405007
NC(=O)C1CCC(c2ccc(Oc3cccc(F)c3)cc2)N1,5.1,5.090669276979445
CNCc1ccc(C#N)cc1Oc1ccc(Cl)c(Cl)c1,5.88,5.959768465889822
CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,5.34,5.698660465035428
CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,5.33,4.297568211953064
CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,5.08,4.339941666688182
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccnc2)c1,8.46,7.774590173606914
NC(=O)c1ccnc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.0,6.792008545605499
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.82,7.710433723568577
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccncc2)c1,8.82,8.536999766465529
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)nc1,5.89,5.887978764805882
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,6.0,5.989949722304726
NC(=O)c1cc(OC2CC3CCC(C2)N3Cc2ccccc2)ccn1,5.8,7.21471832273497
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccn2)c1,8.72,7.877449821904116
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,8.244444988864005
NC(=O)c1ccccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.47,6.196787818297358
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)cc1,6.17,7.059915403790963
NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,8.14,7.171093569565861
N#Cc1ccccc1Oc1ccc(C2CCC(C(N)=O)N2)cc1,5.4,5.4927804771824835
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)o1,8.55,7.537375923641523
NC(=O)C1CCC(c2cccc(Oc3ccccc3)c2)N1,4.2,4.760745863025929
NC(=O)C1CCC(c2ccc(Oc3ccccc3)cc2)N1,4.9,4.661452222695332
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccs2)c1,9.37,7.7399602270884715
NC(=O)c1cccc(CC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,6.19190737465615
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,4.82,6.340907811787251
CNCc1cc(F)ccc1Oc1ccc(Cl)cc1,5.13,4.635742748961376
O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(O)c1,4.8,5.263655416838543
CNCc1ccc(Cl)cc1Oc1ccc(F)c(C)c1,5.52,5.048023778005816
CC(c1ccncc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.43,8.18068221385172
CNCc1cc(F)ccc1Oc1ccc(C)c(C)c1,4.7,4.015943997904916
Cc1cccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)c1,9.28,8.495013081382426
Cc1cc(OC2CC3CCC(C2)N3Cc2ccccc2)cc(C(N)=O)c1,6.18,7.576886356397915
Cc1cc(C(N)=O)ccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.0,7.716595338390833
Cc1ccccc1CN1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,9.21,7.9950476541132085
Cc1c(OC2CC3CCC(C2)N3Cc2ccccc2)cccc1C(N)=O,5.96,6.672179038695756
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cc1,9.85,8.920244086028303
CNCc1cc(C(F)(F)F)ccc1Oc1ccc(C)cc1,4.98,5.254986744251645
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)c(F)c1,5.85,7.364276565454989
NC(=O)c1cc(F)cc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.17,7.587204134003334
CNCc1ccc(Cl)cc1Oc1ccc(C)cc1,5.79,5.701684424997805
CC(Oc1ccc(C2CCC(C(N)=O)N2)cc1)c1ccccc1,5.4,5.2096249305112945
NC(=O)C1CCC(c2ccc(OCc3ccc(F)cc3)cc2)N1,5.1,4.810608954708562
NC(=O)C1CCC(c2ccc(OCc3cccc(F)c3)cc2)N1,5.5,5.308322494501132
NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2)N1,5.1,5.071610367440502
NC(=O)C1CCC(c2ccc(OCc3ccccc3)cc2)N1,5.1,4.586633599385247
