Standardized_SMILES,True Values,Predictions
c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,4.67,5.4272565841674805
Oc1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.8,8.064175605773926
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)C1CCNC1,4.7,5.685847759246826
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCCC2)c1,7.82,8.3046236038208
COc1ccccc1CC(c1ccccc1)N1CCNCC1,4.41,5.471694469451904
COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,5.07,5.471694469451904
COc1ccccc1CC(c1ccccc1F)N1CCNCC1,4.4,5.3910112380981445
COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,4.8,5.3910112380981445
COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,4.68,5.471694469451904
CN1C(C(N)=O)CCC1c1ccc(OCc2ccccc2F)cc1,4.3,5.260481357574463
NC(=O)C1CCC(c2ccc(Oc3ccc(F)cc3)cc2)N1,5.3,5.43427038192749
NC(=O)C1CCC(c2ccc(Oc3cccc(F)c3)cc2)N1,5.1,5.4704437255859375
CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,5.34,5.699274063110352
CNCc1ccc(C#N)cc1Oc1ccc(Cl)c(Cl)c1,5.88,5.699274063110352
CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,5.33,5.660355567932129
CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,5.08,5.631606101989746
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccnc2)c1,8.46,8.024321556091309
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.82,8.550713539123535
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)nc1,5.89,8.139382362365723
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccn2)c1,8.72,7.875977516174316
NC(=O)c1cc(OC2CC3CCC(C2)N3Cc2ccccc2)ccn1,5.8,7.823913097381592
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,6.0,7.988520622253418
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccncc2)c1,8.82,8.024321556091309
NC(=O)c1ccnc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.0,8.006736755371094
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,8.550713539123535
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)cc1,6.17,8.171343803405762
NC(=O)c1ccccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.47,7.988520622253418
NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,8.14,8.3046236038208
N#Cc1ccccc1Oc1ccc(C2CCC(C(N)=O)N2)cc1,5.4,5.473188877105713
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)o1,8.55,8.3002290725708
NC(=O)C1CCC(c2cccc(Oc3ccccc3)c2)N1,4.2,5.703441143035889
NC(=O)C1CCC(c2ccc(Oc3ccccc3)cc2)N1,4.9,5.51495361328125
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccs2)c1,9.37,8.458596229553223
NC(=O)c1cccc(CC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,5.479770660400391
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,4.82,7.988520622253418
CNCc1cc(F)ccc1Oc1ccc(Cl)cc1,5.13,5.774987697601318
O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(O)c1,4.8,5.438474178314209
CNCc1ccc(Cl)cc1Oc1ccc(F)c(C)c1,5.52,5.864074230194092
CC(c1ccncc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.43,8.019927978515625
CNCc1cc(F)ccc1Oc1ccc(C)c(C)c1,4.7,5.5965800285339355
Cc1c(OC2CC3CCC(C2)N3Cc2ccccc2)cccc1C(N)=O,5.96,7.984126091003418
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cc1,9.85,8.482902526855469
Cc1cc(OC2CC3CCC(C2)N3Cc2ccccc2)cc(C(N)=O)c1,6.18,8.546319007873535
Cc1cc(C(N)=O)ccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.0,8.203123092651367
Cc1cccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)c1,9.28,8.3002290725708
Cc1ccccc1CN1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,9.21,8.3002290725708
