Standardized_SMILES,True Values,Predictions
CNC(C)c1ccccc1Oc1ccc(Cl)c(Cl)c1,5.42,1.933242644974254
CNCCCN1c2ccccc2CCc2ccccc21,5.86,1.134884948644397
CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2C)C3=O)cc1,4.77,2.4786817939270325
N#Cc1cc(N2CCN(CCN3Cc4ccccc4C3)C2=O)ccc1F,5.0,2.080845989004201
Cc1ccc(NC(=O)N2CCN(CC3CCCN(C4CC4)C3)CC2)cc1Cl,5.15,2.1153207492572896
CNC(C)c1ccc(Cl)cc1Oc1ccc(C)c(C)c1,5.61,1.560962344099467
O=C1N(CCN2CC3CCC2C3)CCN1c1cccc(Cl)c1,4.9,1.9790502533208185
Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,8.675,1.9195044709485924
COCC1CCCN1N1CCN(c2cccc(Cl)c2)C1=O,5.3,1.6741957595608108
O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(CC2CCCNC2)CC1,5.8,1.9816423694799763
Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)s1,4.5,1.4886350337274992
Fc1ccccc1C(Cc1ccccc1OC(F)F)N1CCNCC1,5.19,1.430338275677518
Fc1cccc(OC(F)F)c1CC(c1ccccc1)N1CCNCC1,4.98,1.8023581732547407
Fc1ccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)cc1,5.04,1.5292366167215619
Fc1cccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)c1,5.08,1.7016594030308103
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccc3c(c2)OCO3)c1,9.21,2.172628083578032
Cc1ccccc1C(C)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.31,2.185754725787464
N#Cc1cccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)c1,5.5,2.008120529594029
CNCc1cc(F)c(OC)cc1Oc1ccc(Cl)c(Cl)c1,5.67,1.95620050431571
CN1CCCC(CN2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,5.8,2.140351574557595
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCc3ccccc32)c1,9.02,2.0384234279368094
NC(=O)c1cccc(OC2CC3CCC(C2)N3CCc2ccccc2)c1,9.42,2.3906200956587527
Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cn1,4.5,2.0771518501489523
CNCc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)cc1,5.29,2.1539059847185986
CC(C)(c1ccccc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.33,1.9944182287460186
Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,6.64,1.2951007505811474
CNC(C)c1ccc(Cl)cc1Oc1ccc(C)cc1,5.43,1.6488897910351161
CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,4.54,2.544309735648565
CC(C)(C)CCN1CCC(CNC(=O)c2cccc(Cl)c2)CC1,5.32,2.19004398068773
CCc1cc(Oc2ccc(F)cc2CNC)ccc1Cl,5.34,1.7478582587599942
NC(=O)C1CSCC(c2ccc(OCc3cccc(F)c3)cc2)N1,4.6,1.977565036655724
CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(C)c1,5.75,1.6351176883219485
CNCc1ccc(Cl)cc1Oc1ccc(C)c(Cl)c1,5.97,1.5629331384174314
O=C(Nc1cccc(Cl)c1)N1CCN(CC2CCCN(C3CC3)C2)CC1,4.55,2.092945409193076
O=C(Nc1ccc(Cl)cc1)N1CCN(CC2CCCN(C3CC3)C2)CC1,4.85,1.9665102376920363
N#Cc1cc(C2CCC(C(N)=O)N2)ccc1OCc1ccccc1F,4.8,2.0611868783934524
FC(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,4.9,1.4748030113842472
CC(C)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,5.2,1.7582984958900885
Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cn1,8.52,2.641942763226074
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2(c3ccccc3)CC2)c1,8.32,1.9985571353598282
NC(=O)c1cccc(NC2CC3CCC(C2)N3Cc2ccccc2)c1,5.96,2.4331943842951325
CNCc1ccc(OC)cc1Oc1ccc(Cl)c(Cl)c1,6.16,1.7834468785940247
c1ccc(C(Cc2ccccc2OC2CC2)N2CCNCC2)cc1,5.19,1.600138001595726
NC(=O)c1cccc(SC2CC3CCC(C2)N3Cc2ccccc2)c1,5.96,2.194392907572554
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,4.82,1.6025230557674899
