Standardized_SMILES,True Values,Predictions
c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,4.67,5.413636363636364
Oc1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.8,5.724545454545455
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)C1CCNC1,4.7,5.316818181818182
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCCC2)c1,7.82,5.490909090909091
COc1ccccc1CC(c1ccccc1)N1CCNCC1,4.41,5.552727272727273
COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,4.8,5.292727272727273
COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,5.07,5.402727272727272
COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,4.68,5.402727272727272
COc1ccccc1CC(c1ccccc1F)N1CCNCC1,4.4,5.264545454545455
CN1C(C(N)=O)CCC1c1ccc(OCc2ccccc2F)cc1,4.3,5.0554545454545465
NC(=O)C1CCC(c2ccc(Oc3ccc(F)cc3)cc2)N1,5.3,5.347727272727273
NC(=O)C1CCC(c2ccc(Oc3cccc(F)c3)cc2)N1,5.1,5.3977272727272725
CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,5.34,5.738181818181818
CNCc1ccc(C#N)cc1Oc1ccc(Cl)c(Cl)c1,5.88,5.800909090909091
CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,5.33,5.3536363636363635
CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,5.08,5.3536363636363635
NC(=O)c1ccnc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.0,5.3909090909090915
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,6.0,5.035454545454546
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccn2)c1,8.72,5.4381818181818184
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccnc2)c1,8.46,5.3518181818181825
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)nc1,5.89,5.404545454545455
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.82,5.3909090909090915
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccncc2)c1,8.82,5.3518181818181825
NC(=O)c1cc(OC2CC3CCC(C2)N3Cc2ccccc2)ccn1,5.8,5.2654545454545465
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)cc1,6.17,5.595454545454547
NC(=O)c1ccccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.47,5.2654545454545465
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,5.3518181818181825
NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,8.14,5.4381818181818184
N#Cc1ccccc1Oc1ccc(C2CCC(C(N)=O)N2)cc1,5.4,5.84909090909091
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)o1,8.55,5.285454545454546
NC(=O)C1CCC(c2cccc(Oc3ccccc3)c2)N1,4.2,5.537272727272727
NC(=O)C1CCC(c2ccc(Oc3ccccc3)cc2)N1,4.9,5.546363636363637
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccs2)c1,9.37,5.401818181818182
NC(=O)c1cccc(CC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,5.324545454545455
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,4.82,5.074545454545455
CNCc1cc(F)ccc1Oc1ccc(Cl)cc1,5.13,5.298181818181818
O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(O)c1,4.8,5.6890909090909085
CNCc1ccc(Cl)cc1Oc1ccc(F)c(C)c1,5.52,5.383636363636364
CC(c1ccncc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.43,5.449545454545454
CNCc1cc(F)ccc1Oc1ccc(C)c(C)c1,4.7,5.3963636363636365
Cc1ccccc1CN1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,9.21,5.4381818181818184
Cc1cccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)c1,9.28,5.672727272727273
Cc1c(OC2CC3CCC(C2)N3Cc2ccccc2)cccc1C(N)=O,5.96,5.226363636363637
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cc1,9.85,5.3500000000000005
Cc1cc(C(N)=O)ccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.0,5.3909090909090915
Cc1cc(OC2CC3CCC(C2)N3Cc2ccccc2)cc(C(N)=O)c1,6.18,5.38909090909091
CNCc1cc(C(F)(F)F)ccc1Oc1ccc(C)cc1,4.98,5.261818181818182
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)c(F)c1,5.85,4.984545454545455
NC(=O)c1cc(F)cc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.17,5.013636363636365
CNCc1ccc(Cl)cc1Oc1ccc(C)cc1,5.79,5.52
CC(Oc1ccc(C2CCC(C(N)=O)N2)cc1)c1ccccc1,5.4,5.571363636363637
NC(=O)C1CCC(c2ccc(OCc3ccc(F)cc3)cc2)N1,5.1,5.358636363636364
NC(=O)C1CCC(c2ccc(OCc3cccc(F)c3)cc2)N1,5.5,5.315909090909091
NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2)N1,5.1,5.316818181818181
NC(=O)C1CCC(c2cccc(OCc3ccccc3)c2)N1,4.6,5.513636363636365
NC(=O)C1CCC(c2ccc(OCc3ccccc3)cc2)N1,5.1,5.526363636363637
CNCc1ccc(Cl)cc1Oc1cccc(Cl)c1,5.68,5.547272727272727
CNCc1ccccc1Oc1ccc(Cl)c(Cl)c1,5.41,5.484545454545454
CNCc1cc(Cl)ccc1Oc1ccc(Cl)cc1,5.32,5.322727272727272
CNCc1ccc(Cl)cc1Oc1ccc(Cl)cc1,6.19,5.510909090909091
CC(c1ccccc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.22,5.449545454545454
CNCc1ccc(Cl)cc1Oc1ccc(C)c(C)c1,5.76,5.547272727272727
CNCc1cc(Cl)ccc1Oc1ccc(C)c(C)c1,5.28,5.3590909090909085
FC(F)(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,4.96,5.414545454545455
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,8.085,5.401818181818182
CNCc1ccc(Cl)cc1Oc1ccc(F)c(Cl)c1,5.68,5.383636363636364
CNCc1cc(F)ccc1Oc1ccc(Cl)c(Cl)c1,5.25,5.3963636363636365
CNCc1ccc(F)cc1Oc1ccc(Cl)c(Cl)c1,5.52,5.45909090909091
CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(F)c1,5.91,5.383636363636364
CNC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2)N1,4.6,5.316818181818181
NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CCCCC2)c1,7.199999999999999,5.420909090909092
NC(=O)C1CCCC(c2ccc(OCc3cccc(F)c3)cc2)N1,5.0,5.298636363636363
CNC(C)c1cc(F)ccc1Oc1ccc(Cl)cc1,5.28,5.190909090909091
CCC(CC)CN=c1c(C(N)=O)c[nH]c2ccc(C#N)cc12,5.64,5.771363636363637
CCOc1ccccc1CC(c1ccccc1)N1CCNCC1,5.16,5.541818181818181
NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cn2)N1,4.8,5.316818181818181
N#Cc1ccc(COc2ccc(C3CCC(C(N)=O)N3)cc2)cc1,5.1,6.176818181818183
N#Cc1ccccc1COc1ccc(C2CCC(C(N)=O)N2)cc1,4.8,5.84909090909091
N#Cc1cccc(COc2ccc(C3CCC(C(N)=O)N3)cc2)c1,4.9,6.16409090909091
NC(=O)C1CCC(c2ccc(OCc3ccccc3F)cc2F)N1,4.9,5.316818181818181
CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)c(Cl)c1,5.26,5.3559090909090905
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,4.82,5.673636363636364
NC(=O)c1cccc(SC2CC3CCC(C2)N3Cc2ccccc2)c1,5.96,5.324545454545455
c1ccc(C(Cc2ccccc2OC2CC2)N2CCNCC2)cc1,5.19,5.61090909090909
CNCc1ccc(OC)cc1Oc1ccc(Cl)c(Cl)c1,6.16,5.547272727272727
NC(=O)c1cccc(NC2CC3CCC(C2)N3Cc2ccccc2)c1,5.96,5.324545454545455
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2(c3ccccc3)CC2)c1,8.32,5.37
Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cn1,8.52,5.449545454545454
CC(C)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,5.2,5.541818181818181
FC(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,4.9,5.411818181818182
N#Cc1cc(C2CCC(C(N)=O)N2)ccc1OCc1ccccc1F,4.8,5.635
O=C(Nc1cccc(Cl)c1)N1CCN(CC2CCCN(C3CC3)C2)CC1,4.55,5.358181818181819
O=C(Nc1ccc(Cl)cc1)N1CCN(CC2CCCN(C3CC3)C2)CC1,4.85,5.473636363636363
CNCc1ccc(Cl)cc1Oc1ccc(C)c(Cl)c1,5.97,5.547272727272727
CNCc1ccc(Cl)cc1Oc1ccc(Cl)c(C)c1,5.75,5.547272727272727
NC(=O)C1CSCC(c2ccc(OCc3cccc(F)c3)cc2)N1,4.6,5.26409090909091
CCc1cc(Oc2ccc(F)cc2CNC)ccc1Cl,5.34,5.3963636363636365
CC(C)(C)CCN1CCC(CNC(=O)c2cccc(Cl)c2)CC1,5.32,5.813636363636363
CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,4.54,5.409090909090909
CNC(C)c1ccc(Cl)cc1Oc1ccc(C)cc1,5.43,5.388181818181819
Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,6.64,5.345454545454545
CC(C)(c1ccccc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.33,5.458181818181819
CNCc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)cc1,5.29,5.315454545454545
Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cn1,4.5,5.874545454545454
NC(=O)c1cccc(OC2CC3CCC(C2)N3CCc2ccccc2)c1,9.42,5.715454545454545
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCc3ccccc32)c1,9.02,5.420909090909092
CN1CCCC(CN2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,5.8,5.247272727272727
CNCc1cc(F)c(OC)cc1Oc1ccc(Cl)c(Cl)c1,5.67,5.291818181818182
N#Cc1cccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)c1,5.5,5.922727272727273
Cc1ccccc1C(C)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,8.31,5.449545454545454
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccc3c(c2)OCO3)c1,9.21,5.691818181818181
Fc1ccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)cc1,5.04,5.251818181818182
Fc1cccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)c1,5.08,5.288181818181818
Fc1cccc(OC(F)F)c1CC(c1ccccc1)N1CCNCC1,4.98,5.391818181818182
Fc1ccccc1C(Cc1ccccc1OC(F)F)N1CCNCC1,5.19,5.223636363636364
Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)s1,4.5,6.02
O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(CC2CCCNC2)CC1,5.8,5.270909090909091
COCC1CCCN1N1CCN(c2cccc(Cl)c2)C1=O,5.3,5.712727272727273
Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,8.675,5.413181818181819
O=C1N(CCN2CC3CCC2C3)CCN1c1cccc(Cl)c1,4.9,6.069090909090908
CNC(C)c1ccc(Cl)cc1Oc1ccc(C)c(C)c1,5.61,5.412727272727273
Cc1ccc(NC(=O)N2CCN(CC3CCCN(C4CC4)C3)CC2)cc1Cl,5.15,5.314545454545455
N#Cc1cc(N2CCN(CCN3Cc4ccccc4C3)C2=O)ccc1F,5.0,5.855454545454546
CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2C)C3=O)cc1,4.77,5.384545454545455
CNCCCN1c2ccccc2CCc2ccccc21,5.86,5.625454545454545
