Standardized_SMILES,True Values,Predictions
c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,4.67,2.4407632407579793
Oc1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.8,2.770695534067482
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)C1CCNC1,4.7,2.106697227855884
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCCC2)c1,7.82,3.1109561290003684
COc1ccccc1CC(c1ccccc1)N1CCNCC1,4.41,2.1076636036178775
COc1ccccc1CC(c1ccccc1F)N1CCNCC1,4.4,2.233864054553016
COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,5.07,2.4872214881435823
COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,4.68,2.5478561893920304
COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,4.8,2.6995260580438534
CN1C(C(N)=O)CCC1c1ccc(OCc2ccccc2F)cc1,4.3,2.3899502902990344
NC(=O)C1CCC(c2ccc(Oc3cccc(F)c3)cc2)N1,5.1,3.1894749819946604
NC(=O)C1CCC(c2ccc(Oc3ccc(F)cc3)cc2)N1,5.3,2.7395306730368674
CNCc1ccc(C#N)cc1Oc1ccc(Cl)c(Cl)c1,5.88,4.8315208244888845
CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,5.34,4.333364966429107
CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,5.33,3.6115610359879433
CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,5.08,3.7221689455396048
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)nc1,5.89,3.0496137834928536
NC(=O)c1ccnc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.0,3.1673280006760045
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.82,3.243921382719595
NC(=O)c1cc(OC2CC3CCC(C2)N3Cc2ccccc2)ccn1,5.8,3.4897022797050985
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccnc2)c1,8.46,3.2648299852621676
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccn2)c1,8.72,3.1074039557751956
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccncc2)c1,8.82,3.0773778921973354
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,6.0,2.8927641183196533
NC(=O)c1ccccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.47,2.9163515731694036
