Standardized_SMILES,True Values,Predictions
c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,4.67,5.363197326660156
Oc1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.8,9.080995559692383
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)C1CCNC1,4.7,5.532520294189453
NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCCC2)c1,7.82,9.080995559692383
COc1ccccc1CC(c1ccccc1)N1CCNCC1,4.41,5.351781845092773
COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,4.68,5.406439304351807
COc1ccccc1CC(c1ccccc1F)N1CCNCC1,4.4,5.351781845092773
COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,4.8,5.351781845092773
COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,5.07,5.351781845092773
CN1C(C(N)=O)CCC1c1ccc(OCc2ccccc2F)cc1,4.3,5.081287860870361
NC(=O)C1CCC(c2ccc(Oc3ccc(F)cc3)cc2)N1,5.3,5.411574363708496
NC(=O)C1CCC(c2ccc(Oc3cccc(F)c3)cc2)N1,5.1,5.523314952850342
CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,5.34,5.73396635055542
CNCc1ccc(C#N)cc1Oc1ccc(Cl)c(Cl)c1,5.88,5.806680202484131
CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,5.33,5.73396635055542
CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,5.08,5.73396635055542
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,5.82,8.969255447387695
NC(=O)c1cc(OC2CC3CCC(C2)N3Cc2ccccc2)ccn1,5.8,8.969255447387695
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccnc2)c1,8.46,9.080995559692383
NC(=O)c1ccnc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.0,8.969255447387695
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,6.0,8.969255447387695
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccn2)c1,8.72,9.080995559692383
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)nc1,5.89,8.969255447387695
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccncc2)c1,8.82,9.080995559692383
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,9.080995559692383
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)cc1,6.17,8.969255447387695
NC(=O)c1ccccc1OC1CC2CCC(C1)N2Cc1ccccc1,6.47,8.969255447387695
NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,8.14,9.080995559692383
N#Cc1ccccc1Oc1ccc(C2CCC(C(N)=O)N2)cc1,5.4,5.411574363708496
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)o1,8.55,9.080995559692383
NC(=O)C1CCC(c2ccc(Oc3ccccc3)cc2)N1,4.9,5.523314952850342
NC(=O)C1CCC(c2cccc(Oc3ccccc3)c2)N1,4.2,5.523314952850342
NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2cccs2)c1,9.37,9.080995559692383
NC(=O)c1cccc(CC2CC3CCC(C2)N3Cc2ccccc2)c1,6.21,5.199432373046875
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)n1,4.82,8.969255447387695
CNCc1cc(F)ccc1Oc1ccc(Cl)cc1,5.13,5.577352523803711
O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(O)c1,4.8,5.616815567016602
CNCc1ccc(Cl)cc1Oc1ccc(F)c(C)c1,5.52,5.882081985473633
